age	education	marital-status	occupation	race	_row_id	income
29.0	66	5	223	4	4740	<=50K
29.0	66	5	223	4	8844	<=50K
29.0	66	5	223	4	10610	<=50K
29.0	66	5	223	4	14167	<=50K
29.0	66	5	223	4	14488	<=50K
29.0	66	5	223	4	17373	<=50K
29.0	66	5	223	4	19474	<=50K
29.0	66	5	223	4	20879	<=50K
29.0	66	5	223	4	26655	<=50K
29.0	66	5	223	4	28412	<=50K
29.0	66	5	223	4	28430	<=50K
29.0	66	5	223	4	28889	<=50K
29.0	66	5	223	4	30966	<=50K
29.0	66	5	223	4	31749	<=50K
29.0	66	5	223	4	35511	<=50K
29.0	66	5	223	4	38070	<=50K
29.0	66	5	223	4	38192	<=50K
29.0	66	5	223	4	45079	>50K
58.5	39	7	74	2	7983	<=50K
58.5	39	7	74	2	10039	<=50K
58.5	39	7	74	2	12801	<=50K
58.5	39	7	74	2	15543	<=50K
58.5	39	7	74	2	16170	<=50K
58.5	39	7	74	2	16507	<=50K
58.5	39	7	74	2	17745	<=50K
58.5	39	7	74	2	21488	<=50K
58.5	39	7	74	2	21495	<=50K
58.5	39	7	74	2	25428	<=50K
58.5	39	7	74	2	29494	<=50K
58.5	39	7	74	2	31158	<=50K
58.5	39	7	74	2	31412	<=50K
58.5	39	7	74	2	31664	<=50K
58.5	39	7	74	2	33215	<=50K
58.5	39	7	74	2	42784	<=50K
58.5	39	7	74	2	43938	<=50K
58.5	39	7	74	2	44101	<=50K
58.5	39	7	74	2	15327	>50K
26.5	99	16	208	13	895	<=50K
26.5	99	16	208	13	1244	<=50K
26.5	99	16	208	13	1891	<=50K
26.5	99	16	208	13	2065	<=50K
26.5	99	16	208	13	2751	<=50K
26.5	99	16	208	13	3192	<=50K
26.5	99	16	208	13	3408	<=50K
26.5	99	16	208	13	3628	<=50K
26.5	99	16	208	13	3882	<=50K
26.5	99	16	208	13	4182	<=50K
26.5	99	16	208	13	4440	<=50K
26.5	99	16	208	13	4898	<=50K
26.5	99	16	208	13	5078	<=50K
26.5	99	16	208	13	5098	<=50K
26.5	99	16	208	13	5353	<=50K
26.5	99	16	208	13	5789	<=50K
26.5	99	16	208	13	6831	<=50K
26.5	99	16	208	13	7051	<=50K
26.5	99	16	208	13	7156	<=50K
26.5	99	16	208	13	7513	<=50K
26.5	99	16	208	13	8000	<=50K
26.5	99	16	208	13	8100	<=50K
26.5	99	16	208	13	8598	<=50K
26.5	99	16	208	13	8760	<=50K
26.5	99	16	208	13	9263	<=50K
26.5	99	16	208	13	9264	<=50K
26.5	99	16	208	13	11284	<=50K
26.5	99	16	208	13	11607	<=50K
26.5	99	16	208	13	11986	<=50K
26.5	99	16	208	13	12424	<=50K
26.5	99	16	208	13	13098	<=50K
26.5	99	16	208	13	13332	<=50K
26.5	99	16	208	13	13503	<=50K
26.5	99	16	208	13	13520	<=50K
26.5	99	16	208	13	14247	<=50K
26.5	99	16	208	13	14297	<=50K
26.5	99	16	208	13	14475	<=50K
26.5	99	16	208	13	14505	<=50K
26.5	99	16	208	13	15094	<=50K
26.5	99	16	208	13	15345	<=50K
26.5	99	16	208	13	15682	<=50K
26.5	99	16	208	13	15715	<=50K
26.5	99	16	208	13	16057	<=50K
26.5	99	16	208	13	16428	<=50K
26.5	99	16	208	13	16456	<=50K
26.5	99	16	208	13	16645	<=50K
26.5	99	16	208	13	16982	<=50K
26.5	99	16	208	13	17047	<=50K
26.5	99	16	208	13	17250	<=50K
26.5	99	16	208	13	18094	<=50K
26.5	99	16	208	13	18290	<=50K
26.5	99	16	208	13	18608	<=50K
26.5	99	16	208	13	18823	<=50K
26.5	99	16	208	13	19476	<=50K
26.5	99	16	208	13	19862	<=50K
26.5	99	16	208	13	21260	<=50K
26.5	99	16	208	13	22911	<=50K
26.5	99	16	208	13	23149	<=50K
26.5	99	16	208	13	23949	<=50K
26.5	99	16	208	13	24698	<=50K
26.5	99	16	208	13	24827	<=50K
26.5	99	16	208	13	24930	<=50K
26.5	99	16	208	13	25043	<=50K
26.5	99	16	208	13	25189	<=50K
26.5	99	16	208	13	25858	<=50K
26.5	99	16	208	13	25947	<=50K
26.5	99	16	208	13	26439	<=50K
26.5	99	16	208	13	27815	<=50K
26.5	99	16	208	13	28696	<=50K
26.5	99	16	208	13	29066	<=50K
26.5	99	16	208	13	29980	<=50K
26.5	99	16	208	13	30602	<=50K
26.5	99	16	208	13	30796	<=50K
26.5	99	16	208	13	30822	<=50K
26.5	99	16	208	13	31394	<=50K
26.5	99	16	208	13	31574	<=50K
26.5	99	16	208	13	32165	<=50K
26.5	99	16	208	13	32234	<=50K
26.5	99	16	208	13	32312	<=50K
26.5	99	16	208	13	32830	<=50K
26.5	99	16	208	13	32923	<=50K
26.5	99	16	208	13	33325	<=50K
26.5	99	16	208	13	33709	<=50K
26.5	99	16	208	13	34239	<=50K
26.5	99	16	208	13	34256	<=50K
26.5	99	16	208	13	34314	<=50K
26.5	99	16	208	13	35214	<=50K
26.5	99	16	208	13	35466	<=50K
26.5	99	16	208	13	35624	<=50K
26.5	99	16	208	13	36159	<=50K
26.5	99	16	208	13	36303	<=50K
26.5	99	16	208	13	37057	<=50K
26.5	99	16	208	13	37630	<=50K
26.5	99	16	208	13	37727	<=50K
26.5	99	16	208	13	38071	<=50K
26.5	99	16	208	13	38471	<=50K
26.5	99	16	208	13	38599	<=50K
26.5	99	16	208	13	39076	<=50K
26.5	99	16	208	13	39498	<=50K
26.5	99	16	208	13	39783	<=50K
26.5	99	16	208	13	40101	<=50K
26.5	99	16	208	13	40147	<=50K
26.5	99	16	208	13	40556	<=50K
26.5	99	16	208	13	41333	<=50K
26.5	99	16	208	13	41966	<=50K
26.5	99	16	208	13	42414	<=50K
26.5	99	16	208	13	42456	<=50K
26.5	99	16	208	13	43676	<=50K
26.5	99	16	208	13	43971	<=50K
26.5	99	16	208	13	44449	<=50K
26.5	99	16	208	13	44475	<=50K
26.5	99	16	208	13	44747	<=50K
26.5	99	16	208	13	45154	<=50K
26.5	99	16	208	13	45832	<=50K
26.5	99	16	208	13	46062	<=50K
26.5	99	16	208	13	47148	<=50K
26.5	99	16	208	13	47519	<=50K
26.5	99	16	208	13	47817	<=50K
26.5	99	16	208	13	46853	>50K
30.5	165	5	76	9	5836	<=50K
