age	education	marital-status	occupation	race	_row_id	income
27.5	41	5	143	7	471	<=50K
27.5	41	5	143	7	915	<=50K
27.5	41	5	143	7	1095	<=50K
27.5	41	5	143	7	1163	<=50K
27.5	41	5	143	7	1577	<=50K
27.5	41	5	143	7	1686	<=50K
27.5	41	5	143	7	1857	<=50K
27.5	41	5	143	7	2258	<=50K
27.5	41	5	143	7	3675	<=50K
27.5	41	5	143	7	3850	<=50K
27.5	41	5	143	7	4005	<=50K
27.5	41	5	143	7	4533	<=50K
27.5	41	5	143	7	4643	<=50K
27.5	41	5	143	7	4740	<=50K
27.5	41	5	143	7	4742	<=50K
27.5	41	5	143	7	4795	<=50K
27.5	41	5	143	7	5304	<=50K
27.5	41	5	143	7	5920	<=50K
27.5	41	5	143	7	7067	<=50K
27.5	41	5	143	7	7843	<=50K
27.5	41	5	143	7	8844	<=50K
27.5	41	5	143	7	10421	<=50K
27.5	41	5	143	7	10610	<=50K
27.5	41	5	143	7	11642	<=50K
27.5	41	5	143	7	11670	<=50K
27.5	41	5	143	7	12387	<=50K
27.5	41	5	143	7	13292	<=50K
27.5	41	5	143	7	13311	<=50K
27.5	41	5	143	7	13470	<=50K
27.5	41	5	143	7	15880	<=50K
27.5	41	5	143	7	16342	<=50K
27.5	41	5	143	7	17326	<=50K
27.5	41	5	143	7	17373	<=50K
27.5	41	5	143	7	17988	<=50K
27.5	41	5	143	7	19474	<=50K
27.5	41	5	143	7	19985	<=50K
27.5	41	5	143	7	20422	<=50K
27.5	41	5	143	7	20879	<=50K
27.5	41	5	143	7	21059	<=50K
27.5	41	5	143	7	21683	<=50K
27.5	41	5	143	7	23313	<=50K
27.5	41	5	143	7	23481	<=50K
27.5	41	5	143	7	24175	<=50K
27.5	41	5	143	7	24342	<=50K
27.5	41	5	143	7	25400	<=50K
27.5	41	5	143	7	25462	<=50K
27.5	41	5	143	7	26829	<=50K
27.5	41	5	143	7	27126	<=50K
27.5	41	5	143	7	27711	<=50K
27.5	41	5	143	7	27946	<=50K
27.5	41	5	143	7	28099	<=50K
27.5	41	5	143	7	28181	<=50K
27.5	41	5	143	7	28412	<=50K
27.5	41	5	143	7	28708	<=50K
27.5	41	5	143	7	28889	<=50K
27.5	41	5	143	7	29657	<=50K
27.5	41	5	143	7	30966	<=50K
27.5	41	5	143	7	34019	<=50K
27.5	41	5	143	7	34156	<=50K
27.5	41	5	143	7	34462	<=50K
27.5	41	5	143	7	35511	<=50K
27.5	41	5	143	7	38192	<=50K
27.5	41	5	143	7	38726	<=50K
27.5	41	5	143	7	39079	<=50K
27.5	41	5	143	7	39408	<=50K
27.5	41	5	143	7	42576	<=50K
27.5	41	5	143	7	42726	<=50K
27.5	41	5	143	7	44400	<=50K
27.5	41	5	143	7	46502	<=50K
27.5	41	5	143	7	47610	<=50K
27.5	41	5	143	7	833	>50K
27.5	41	5	143	7	2427	>50K
27.5	41	5	143	7	6339	>50K
27.5	41	5	143	7	6858	>50K
27.5	41	5	143	7	12692	>50K
27.5	41	5	143	7	19456	>50K
27.5	41	5	143	7	23008	>50K
27.5	41	5	143	7	23798	>50K
27.5	41	5	143	7	33835	>50K
27.5	41	5	143	7	39043	>50K
27.5	41	5	143	7	40795	>50K
27.5	41	5	143	7	40954	>50K
27.5	41	5	143	7	41955	>50K
27.5	41	5	143	7	42627	>50K
27.5	41	5	143	7	45079	>50K
27.5	41	5	143	7	45872	>50K
27.5	34	6	46	13	3348	<=50K
27.5	34	6	46	13	3817	<=50K
27.5	34	6	46	13	4041	<=50K
27.5	34	6	46	13	4426	<=50K
27.5	34	6	46	13	5504	<=50K
27.5	34	6	46	13	5878	<=50K
27.5	34	6	46	13	8028	<=50K
27.5	34	6	46	13	9517	<=50K
27.5	34	6	46	13	10296	<=50K
27.5	34	6	46	13	10823	<=50K
27.5	34	6	46	13	10882	<=50K
27.5	34	6	46	13	11352	<=50K
27.5	34	6	46	13	11824	<=50K
27.5	34	6	46	13	12869	<=50K
27.5	34	6	46	13	13505	<=50K
27.5	34	6	46	13	14167	<=50K
27.5	34	6	46	13	14180	<=50K
27.5	34	6	46	13	14488	<=50K
27.5	34	6	46	13	15870	<=50K
27.5	34	6	46	13	17210	<=50K
27.5	34	6	46	13	20252	<=50K
27.5	34	6	46	13	20404	<=50K
27.5	34	6	46	13	20809	<=50K
27.5	34	6	46	13	20979	<=50K
27.5	34	6	46	13	20984	<=50K
27.5	34	6	46	13	21346	<=50K
27.5	34	6	46	13	21671	<=50K
27.5	34	6	46	13	21679	<=50K
27.5	34	6	46	13	22371	<=50K
27.5	34	6	46	13	22812	<=50K
27.5	34	6	46	13	24390	<=50K
27.5	34	6	46	13	25651	<=50K
27.5	34	6	46	13	26037	<=50K
27.5	34	6	46	13	26501	<=50K
27.5	34	6	46	13	26655	<=50K
27.5	34	6	46	13	26745	<=50K
27.5	34	6	46	13	26758	<=50K
27.5	34	6	46	13	27131	<=50K
27.5	34	6	46	13	27230	<=50K
27.5	34	6	46	13	27584	<=50K
27.5	34	6	46	13	28263	<=50K
