age	education	marital-status	occupation	race	_row_id	income
27.5	66	5	201	10	1857	<=50K
27.5	66	5	201	10	3850	<=50K
27.5	66	5	201	10	4005	<=50K
27.5	66	5	201	10	4643	<=50K
27.5	66	5	201	10	4795	<=50K
27.5	66	5	201	10	5304	<=50K
27.5	66	5	201	10	5920	<=50K
27.5	66	5	201	10	7067	<=50K
27.5	66	5	201	10	10421	<=50K
27.5	66	5	201	10	11670	<=50K
27.5	66	5	201	10	13292	<=50K
27.5	66	5	201	10	15880	<=50K
27.5	66	5	201	10	16342	<=50K
27.5	66	5	201	10	17326	<=50K
27.5	66	5	201	10	17988	<=50K
27.5	66	5	201	10	19474	<=50K
27.5	66	5	201	10	20422	<=50K
27.5	66	5	201	10	21059	<=50K
27.5	66	5	201	10	23313	<=50K
27.5	66	5	201	10	23481	<=50K
27.5	66	5	201	10	24175	<=50K
27.5	66	5	201	10	26829	<=50K
27.5	66	5	201	10	27126	<=50K
27.5	66	5	201	10	27946	<=50K
27.5	66	5	201	10	28181	<=50K
27.5	66	5	201	10	34156	<=50K
27.5	66	5	201	10	38192	<=50K
27.5	66	5	201	10	38726	<=50K
27.5	66	5	201	10	39079	<=50K
27.5	66	5	201	10	39408	<=50K
27.5	66	5	201	10	42726	<=50K
27.5	66	5	201	10	44400	<=50K
27.5	66	5	201	10	46502	<=50K
27.5	66	5	201	10	6858	>50K
27.5	66	5	201	10	19456	>50K
27.5	66	5	201	10	23008	>50K
27.5	66	5	201	10	39043	>50K
27.5	66	5	201	10	40795	>50K
27.5	66	5	201	10	40954	>50K
27.5	66	5	201	10	42627	>50K
27.5	41	6	125	16	3348	<=50K
27.5	41	6	125	16	3817	<=50K
27.5	41	6	125	16	4041	<=50K
27.5	41	6	125	16	4426	<=50K
27.5	41	6	125	16	5504	<=50K
27.5	41	6	125	16	8028	<=50K
27.5	41	6	125	16	10296	<=50K
27.5	41	6	125	16	11352	<=50K
27.5	41	6	125	16	14167	<=50K
27.5	41	6	125	16	14180	<=50K
27.5	41	6	125	16	20252	<=50K
27.5	41	6	125	16	20404	<=50K
27.5	41	6	125	16	20809	<=50K
27.5	41	6	125	16	20979	<=50K
27.5	41	6	125	16	20984	<=50K
27.5	41	6	125	16	21346	<=50K
27.5	41	6	125	16	21671	<=50K
27.5	41	6	125	16	21679	<=50K
27.5	41	6	125	16	22371	<=50K
27.5	41	6	125	16	24390	<=50K
27.5	41	6	125	16	25651	<=50K
27.5	41	6	125	16	27131	<=50K
27.5	41	6	125	16	27230	<=50K
27.5	41	6	125	16	27584	<=50K
27.5	41	6	125	16	28263	<=50K
27.5	41	6	125	16	28430	<=50K
27.5	41	6	125	16	28707	<=50K
27.5	41	6	125	16	28792	<=50K
27.5	41	6	125	16	30206	<=50K
27.5	41	6	125	16	30406	<=50K
27.5	41	6	125	16	31749	<=50K
27.5	41	6	125	16	33900	<=50K
27.5	41	6	125	16	35104	<=50K
27.5	41	6	125	16	35135	<=50K
27.5	41	6	125	16	37205	<=50K
27.5	41	6	125	16	37388	<=50K
